timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626167804720,1879,登录,200,,线程组 1-53,text,false,"操作持续太长时间：他花费了1,879毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1879,0,0
1626167804921,1679,登录,200,,线程组 1-57,text,false,"操作持续太长时间：他花费了1,679毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1679,0,0
1626167804923,1880,登录,200,,线程组 1-97,text,false,"操作持续太长时间：他花费了1,880毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1880,0,0
1626167804926,1877,登录,200,,线程组 1-51,text,false,"操作持续太长时间：他花费了1,877毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1877,0,0
1626167804926,1877,登录,200,,线程组 1-22,text,false,"操作持续太长时间：他花费了1,877毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1877,0,0
1626167804927,1876,登录,200,,线程组 1-44,text,false,"操作持续太长时间：他花费了1,876毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1876,0,0
1626167805133,1670,登录,200,,线程组 1-26,text,false,"操作持续太长时间：他花费了1,670毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1670,0,0
1626167804926,1877,登录,200,,线程组 1-34,text,false,"操作持续太长时间：他花费了1,877毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1877,0,0
1626167804927,1876,登录,200,,线程组 1-16,text,false,"操作持续太长时间：他花费了1,876毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1876,0,0
1626167804927,1876,登录,200,,线程组 1-43,text,false,"操作持续太长时间：他花费了1,876毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1876,0,0
1626167805133,1670,登录,200,,线程组 1-19,text,false,"操作持续太长时间：他花费了1,670毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1670,0,0
1626167804089,2714,登录,200,,线程组 1-6,text,false,"操作持续太长时间：他花费了2,714毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,2714,0,0
1626167805134,1669,登录,200,,线程组 1-94,text,false,"操作持续太长时间：他花费了1,669毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1669,0,0
1626167804713,2091,登录,200,,线程组 1-35,text,false,"操作持续太长时间：他花费了2,091毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,2091,0,0
1626167804927,1876,登录,200,,线程组 1-18,text,false,"操作持续太长时间：他花费了1,876毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1876,0,0
1626167805134,1671,登录,200,,线程组 1-73,text,false,"操作持续太长时间：他花费了1,671毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1671,0,0
1626167805133,1673,登录,200,,线程组 1-62,text,false,"操作持续太长时间：他花费了1,673毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1673,0,0
1626167804917,1889,登录,200,,线程组 1-85,text,false,"操作持续太长时间：他花费了1,889毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1889,0,0
1626167805134,1874,登录,200,,线程组 1-52,text,false,"操作持续太长时间：他花费了1,874毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1874,0,0
1626167805133,1875,登录,200,,线程组 1-54,text,false,"操作持续太长时间：他花费了1,875毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1875,0,0
1626167805134,1874,登录,200,,线程组 1-86,text,false,"操作持续太长时间：他花费了1,874毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1874,0,0
1626167805149,1861,登录,200,,线程组 1-21,text,false,"操作持续太长时间：他花费了1,861毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1861,0,0
1626167805134,1876,登录,200,,线程组 1-88,text,false,"操作持续太长时间：他花费了1,876毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1876,0,0
1626167805135,1875,登录,200,,线程组 1-66,text,false,"操作持续太长时间：他花费了1,875毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1875,0,0
1626167805133,1877,登录,200,,线程组 1-87,text,false,"操作持续太长时间：他花费了1,877毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1877,0,0
1626167805133,1878,登录,200,,线程组 1-12,text,false,"操作持续太长时间：他花费了1,878毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1878,0,0
1626167805149,1862,登录,200,,线程组 1-76,text,false,"操作持续太长时间：他花费了1,862毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1862,0,0
1626167805149,1864,登录,200,,线程组 1-36,text,false,"操作持续太长时间：他花费了1,864毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1864,0,0
1626167805134,1880,登录,200,,线程组 1-63,text,false,"操作持续太长时间：他花费了1,880毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1880,0,0
1626167805149,1865,登录,200,,线程组 1-71,text,false,"操作持续太长时间：他花费了1,865毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1865,0,0
1626167805340,1674,登录,200,,线程组 1-31,text,false,"操作持续太长时间：他花费了1,674毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1674,0,0
1626167805133,1881,登录,200,,线程组 1-47,text,false,"操作持续太长时间：他花费了1,881毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1881,0,0
1626167805345,1671,登录,200,,线程组 1-74,text,false,"操作持续太长时间：他花费了1,671毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1671,0,0
